phase,fixed_role,fixed_value,nSeller,nBuyer,mode,proof_size_bytes,pk_size_bytes,vk_size_bytes,prove_time_ms_avg,verify_time_ms_avg
stage1,buyer,10,5,10,balanced,803,16731022,2740,1016.898,293.408
stage1,buyer,10,10,10,balanced,805,20799223,2740,1140.829,297.255
stage1,buyer,10,15,10,balanced,806,24867423,2739,1241.846,296.513
stage1,buyer,10,20,10,balanced,805,33129927,2738,1626.679,298.430
stage1,buyer,10,25,10,balanced,808,37198127,2737,1684.382,300.986
stage1,buyer,10,30,10,balanced,805,41266327,2737,1817.937,302.606
stage1,buyer,20,5,20,balanced,801,24867422,2739,1229.399,295.182
stage1,buyer,20,10,20,balanced,806,33129927,2738,1641.952,306.391
stage1,buyer,20,15,20,balanced,801,37198127,2736,1702.963,295.729
stage1,buyer,20,20,20,balanced,807,41266327,2736,1825.597,299.336
stage1,buyer,20,25,20,balanced,806,45334527,2741,1911.175,307.802
stage1,buyer,20,30,20,balanced,803,49402727,2739,2005.797,293.026
stage1,buyer,30,5,30,balanced,807,37198126,2740,1723.154,293.774
stage1,buyer,30,10,30,balanced,806,41266327,2742,1822.614,297.594
stage1,buyer,30,15,30,balanced,806,45334527,2740,1917.718,306.992
stage1,buyer,30,20,30,balanced,806,49402727,2737,2025.322,292.999
stage1,buyer,30,25,30,balanced,808,53470927,2737,2090.837,290.478
stage1,buyer,30,30,30,balanced,805,65927735,2738,2842.539,299.078
stage2,seller,10,10,5,balanced,802,16731022,2740,1032.422,301.615
stage2,seller,10,10,10,balanced,804,20799223,2739,1142.836,300.594
stage2,seller,10,10,15,balanced,805,24867423,2741,1226.829,298.017
stage2,seller,10,10,20,balanced,806,33129927,2740,1633.864,302.230
stage2,seller,10,10,25,balanced,806,37198127,2741,1717.385,298.607
stage2,seller,10,10,30,balanced,807,41266327,2740,1816.512,305.703
stage2,seller,20,20,5,balanced,808,24867422,2739,1235.510,296.572
stage2,seller,20,20,10,balanced,809,33129927,2738,1654.121,302.698
stage2,seller,20,20,15,balanced,806,37198127,2741,1748.757,296.104
stage2,seller,20,20,20,balanced,804,41266327,2739,1824.336,296.332
stage2,seller,20,20,25,balanced,805,45334527,2739,1955.372,307.055
stage2,seller,20,20,30,balanced,807,49402727,2740,2025.192,293.067
stage2,seller,30,30,5,balanced,807,37198126,2740,1702.319,295.531
stage2,seller,30,30,10,balanced,806,41266327,2739,1806.219,300.640
stage2,seller,30,30,15,balanced,805,45334527,2741,1948.414,307.804
stage2,seller,30,30,20,balanced,807,49402727,2739,1998.483,294.372
stage2,seller,30,30,25,balanced,807,53470927,2738,2106.896,294.788
stage2,seller,30,30,30,balanced,808,65927735,2740,2835.777,295.636
